ACA>A	ACC>A	ACG>A	ACT>A	CCA>A	CCC>A	CCG>A	CCT>A	GCA>A	GCC>A	GCG>A	GCT>A	TCA>A	TCC>A	TCG>A	TCT>A	ACA>G	ACC>G	ACG>G	ACT>G	CCA>G	CCC>G	CCG>G	CCT>G	GCA>G	GCC>G	GCG>G	GCT>G	TCA>G	TCC>G	TCG>G	TCT>G	ACA>T	ACC>T	ACG>T	ACT>T	CCA>T	CCC>T	CCG>T	CCT>T	GCA>T	GCC>T	GCG>T	GCT>T	TCA>T	TCC>T	TCG>T	TCT>T	ATA>A	ATC>A	ATG>A	ATT>A	CTA>A	CTC>A	CTG>A	CTT>A	GTA>A	GTC>A	GTG>A	GTT>A	TTA>A	TTC>A	TTG>A	TTT>A	ATA>C	ATC>C	ATG>C	ATT>C	CTA>C	CTC>C	CTG>C	CTT>C	GTA>C	GTC>C	GTG>C	GTT>C	TTA>C	TTC>C	TTG>C	TTT>C	ATA>G	ATC>G	ATG>G	ATT>G	CTA>G	CTC>G	CTG>G	CTT>G	GTA>G	GTC>G	GTG>G	GTT>G	TTA>G	TTC>G	TTG>G	TTT>G
SBS1	0.000886157230877472	0.00228040461219033	0.000177031410683197	0.00128022715070335	0.000312055367983941	0.00179031765606171	9.32165394105874e-05	2.23039573911599e-16	0.00158028038914944	0.000339060159444089	0.000587104169892862	2.23039573911599e-16	6.58116769658439e-05	0.00253044897756208	2.23039573911599e-16	5.88104347354349e-06	0.0018603300783658	0.00122021650301413	0.000115020408071004	0.00114020230609517	2.41042768218364e-05	7.68136290422007e-05	0.00035206246644342	2.23039573911599e-16	9.59170185566022e-06	0.000164029103683866	0.00016602945860684	2.23039573911599e-16	2.23039573911599e-16	0.000203036024681859	6.9412315827197e-05	0.0015602768399197	0.0250044365371747	0.00632112155659777	0.365064773442751	0.00958170008104535	0.00200035492297398	0.000270047914601487	0.19603478245145	0.00019603478245145	0.00444078792900223	9.28164684259926e-05	0.218038686604164	3.84068145211004e-05	0.00111019698225056	3.73066193134647e-05	0.110019520763569	2.23039573911599e-16	0.000800141969189591	0.00223039573911599	0.00114020230609517	0.000183032475452119	4.30076308439405e-05	0.000393069742364387	0.000324057497521784	0.000260046139986617	8.12144098727435e-05	0.000129022892531822	0.000246043655525799	0.000258045785063643	0.00672119254119256	2.23039573911599e-16	2.80049689216357e-05	0.00225039928834572	0.00109019343302082	0.00304053948292045	0.000106018810917621	0.00574101862893532	2.23039573911599e-16	0.00250044365371747	0.000360063886135316	4.26075598593457e-05	0.00105018633456134	0.00190033717682528	0.00117020762993978	7.13126530040223e-05	0.000255045252679182	0.00339060159444089	0.000416073823978587	0.00433076840823866	0.000172030523375762	0.000207036734527807	0.000268047559678513	0.000112019875686543	3.55062998827881e-05	0.000212037621835242	0.000128022715070335	0.000171030345914275	2.23039573911599e-16	2.23039573911599e-16	0.000348061756597472	1.460259093771e-05	2.23039573911599e-16	5.51097781279331e-05	0.000583103460046914	2.23039573911599e-16
SBS5	0.011997600479904	0.0094381123775245	0.0018496300739852	0.00660867826434713	0.00742851429714057	0.00613877224555089	0.00345930813837233	0.00648870225954809	0.0101979604079184	0.00764847030593881	0.00233953209358128	0.00681863627274545	0.00785842831433713	0.00916816636672665	0.0022995400919816	0.0126974605078984	0.0100979804039192	0.00569886022795441	0.00171965606878624	0.0100979804039192	0.00695860827834433	0.00906818636272745	0.00248950209958008	0.00952809438112378	0.00467906418716257	0.00507898420315937	0.00150969806038792	0.00671865626874625	0.00780843831233753	0.00759848030393921	0.00170965806838632	0.0124975004999	0.0325934813037392	0.0178964207158568	0.00617876424715057	0.021995600879824	0.0193961207758448	0.018996200759848	0.01749650069986	0.0230953809238152	0.0193961207758448	0.0215956808638272	0.0122975404919016	0.0185962807438512	0.0202959408118376	0.022995400919816	0.0158968206358728	0.020995800839832	0.00737852429514097	0.00692861427714457	0.00911817636472705	0.00619876024795041	0.00353929214157169	0.00518896220755849	0.00500899820035993	0.00429914017196561	0.00366926614677065	0.00290941811637672	0.00410917816436713	0.00321935612877425	0.00630873825234953	0.00413917216556689	0.00478904219156169	0.00874825034993001	0.0461907618476305	0.0133973205358928	0.0381923615276945	0.0382923415316937	0.0132973405318936	0.0103979204159168	0.0207958408318336	0.0148970205958808	0.0140971805638872	0.00793841231753649	0.01499700059988	0.0136972605478904	0.017996400719856	0.00970805838832234	0.0126974605078984	0.018496300739852	0.00385922815436913	0.0025994801039792	0.00793841231753649	0.00482903419316137	0.00258948210357928	0.00460907818436313	0.00612877424515097	0.00729854029194161	0.00251949610077984	0.00170965806838632	0.00529894021195761	0.0023495300939812	0.00521895620875825	0.00655868826234753	0.00693861227754449	0.013497300539892
Colibactin	0.00316821196696007	0.00230531533492191	0.000386157286925975	0.0026881136348149	0.00274791952182413	0.00107197755191339	0.000229820072518621	0.00177313699501793	0.0012097050172196	0.00150250016267279	0.000280913270697763	0.00125013129411366	0.00164020511127496	0.00209066256261574	0.000404403046077794	0.00346817382165516	0.00216335823545997	0.0010936417867665	0.00025469260133261	0.00162845806848409	0.00117141751880106	0.0010826272201622	0.000403967322703029	0.00148044832403158	0.00118577182629108	0.000679831265836188	0.000148307753297846	0.000719899643728518	0.00147295670307201	0.00111856995104019	0.000322452313799303	0.00358256405595259	0.00620698928442594	0.00288605469678709	0.0100724523406845	0.00350172160547239	0.00302087601751776	0.00276350258321832	0.00857650239064984	0.00608261347507972	0.00185726413814128	0.00492105014572094	0.00640831180346143	0.00401263609815923	0.00330617579687646	0.0031244354080697	0.00550131818071396	0.00573780946094064	0.0372057474161901	0.0257933531437873	0.00500000822584018	0.0428169019080768	0.00233861952412811	0.00154447356194751	0.00149322830967272	0.00266429338287696	0.00338913103369312	0.00306496685752581	0.00154683256645429	0.0103901831217482	0.0140191774137685	0.00960061820987358	0.0024197594139076	0.0671055918705152	0.0895488378028146	0.0409396661411686	0.00985408544788542	0.172906352290893	0.00207227777563331	0.00156142965158644	0.00155032155829715	0.00266314694901193	0.00578574512999995	0.00286962991417781	0.00112540294323257	0.0229132300234607	0.0136904156249069	0.00685697295152478	0.00109013523413372	0.107802558952227	0.00580809818285156	0.00279428317795048	0.00157168056148064	0.00666360093727303	0.00129603344924459	0.00115768200172701	0.000921323065252291	0.00370873134147078	0.00302333923718962	0.00245364701240181	0.00137477190693418	0.0109676883894243	0.0141268464637581	0.010043830987663	0.00196452166453967	0.095794802601977
