ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Signature A	0.0246965655681092	0.00550037332253787	0.00209927198758908	0.012116601968176	0.0254773611547509	0.00616931887642509	0.00156733687501652	0.011002537447378	0.0200714381265356	0.00262485653190761	0.00112067938210167	0.00568756310724547	0.00340599322395904	0.00145099532783632	0.00067378465452008	0.00202345851947149	0.020580044065206	0.00452033764935427	0.000917870253129333	0.010387984781335	0.00646944731624576	0.0042143450162206	0.00068871503839507	0.00777175147555607	0.00984741528401125	0.00391164400966168	0.001003112854667	0.0057313478562446	0.00215602075357479	0.00385165640408997	0.00055833174436464	0.00506573401728461	0.0608680164521744	0.0357904849710532	0.0374308328352758	0.0459602806042991	0.0354386369735761	0.0300657717649689	0.005474461953695	0.0708863512601547	0.0398486797564031	0.0262879588073684	0.0101683297448392	0.0476368543427997	0.0200222717914489	0.0222542904071331	0.00748774051568318	0.0287810667605137	0.00769520904596931	0.00860959213841917	0.00487278135646354	0.00647956679120191	0.00449917777076157	0.00451822354726608	0.00577311258772254	0.00311255507323706	0.00335932827877021	0.00385337069478009	0.00222569828295518	0.0038539262228005	0.00262561162247954	0.00207965819580512	0.00330331266086728	0.00501666069542503	0.020160064102559	0.00624861254460108	0.0164232547913543	0.0170974572004383	0.00794304635336667	0.0102343949315278	0.00909670747987634	0.00815570749344804	0.00299712898960244	0.00658337563883646	0.00330953206043169	0.01285144456553	0.00743910569342697	0.00671644392777845	0.00653366645000789	0.01022955081072	0.00378497650313386	0.00159787608226755	0.00377839317353521	0.00308191489037456	0.00151036400024961	0.00218841882681703	0.00307861180530615	0.00275618651289658	0.00183094676828113	0.000867440672337428	0.00336013461995338	0.00190457295253897	0.00214723293015296	0.00115084448300852	0.00222607523449488	0.0030728090119357
Signature B	0.0119527775348688	0.0121873873184443	0.00239124059131507	0.00562737324616445	0.00721266622359638	0.00905743938945756	0.00192329431917328	0.0104022194370697	0.0157107999809187	0.00993591204509797	0.00304286633672839	0.0107623486616778	0.0158281918923309	0.0148090019252851	0.00371912955386039	0.0218558189394646	0.00162122029613991	0.00345827831048552	0.00209288340117087	0.00304397844432352	0.00156656188356399	0.00241843456535208	0.00121595449704489	0.00254500381132883	0.00127004890345065	0.00212995372731387	0.000609702070537013	0.00192796997041656	0.0048669670186962	0.00189935616442809	0.00108031302512303	0.00792007143989771	0.0040607316646822	0.00693547564428509	0.182411012831978	0.00700371098846631	0.00648266428838512	0.0135605928165554	0.0990320325989766	0.00361184528003625	0.0137823827840414	0.0164126893424464	0.112247693229209	0.00536416827922446	0.0118695166567365	0.0179472246381162	0.0734463045346294	0.0102023196616344	0.00411081386986485	0.00484111591629372	0.00289325805231167	0.0090177727357832	0.00428386900014493	0.00319292672953238	0.00442611612822916	0.0120391822596592	0.0022044538350732	0.0031198122046867	0.0013493690644571	0.00463858692365069	0.00941518908828341	0.00292911177986339	0.00233403998436936	0.0126582082471792	0.00733094018656994	0.00493310816209694	0.00215354536256831	0.00825969651770768	0.00349248218331157	0.00243354689208011	0.00340059181046841	0.00785192981921262	0.00758819696587642	0.00306070889502132	0.0020616969144404	0.00623652262758231	0.0072081226119742	0.0064365891882927	0.00297074250149812	0.0106693006407594	0.00326372695938646	0.000945249787294191	0.00322357687014722	0.00386042423688565	0.00136961354136476	0.00125678135413293	0.00257436161455469	0.00556818466227159	0.00113365128476297	0.00148828052524624	0.00166745085592047	0.00272174580071694	0.00537650305723613	0.00144153247650216	0.00517781947418804	0.00893402023641809
Signature C	0.0120056136580934	0.00742880746595134	0.00336995867869519	0.0116075469375573	0.00949157577836181	0.00526936444634234	0.0076153540302652	0.00617856588333463	0.00522486172050353	0.0039071864928965	0.00205105165785081	0.00378259575637462	0.00567991006407066	0.00275174030331828	0.00243684437934539	0.0045299771006411	0.00520660044370344	0.00446734978915637	0.0021366255949835	0.00840540526149141	0.00471615081539763	0.00558695147172255	0.00447901702716142	0.0113609341883176	0.00419602542014692	0.00421429465474022	0.0026065667292924	0.00447463527998865	0.00852913677419787	0.00759074609583917	0.00387774102321055	0.0184885774336996	0.0471472289767512	0.00656368491307554	0.0052059971605156	0.010072411688127	0.0213831148732134	0.00292368139584251	0.0174370981177507	0.00436723120123871	0.0112982245035757	0.00194377679473614	0.00387688508847734	0.00178452051607081	0.0192004537438205	0.00671418032698894	0.00914164335028609	0.0111523266973096	0.00912596479042467	0.0032157034929791	0.0226796052717142	0.006110802675223	0.006440889570977	0.00612973312103142	0.0109237615503543	0.0040728006318089	0.00423392015625728	0.00373669922905693	0.0103341361724055	0.0048256107438099	0.00627427597412248	0.0053778758970912	0.00796395069828212	0.0082238513916149	0.0702210122457114	0.0178320702359769	0.0572329119790732	0.068959810005275	0.0122789323516557	0.00938340050187869	0.0160092575909182	0.016622969484029	0.0112907517202416	0.00695325612161935	0.026857737536832	0.0169911443528096	0.0173799425041658	0.00763210014581839	0.0133889836363509	0.0245429569564318	0.0048969046216943	0.00395061577441354	0.0101411876524078	0.00947564255327064	0.00443519044738437	0.00610144651113096	0.00817624999164315	0.0100389234861281	0.00482382684157585	0.0021510780099623	0.00694358853608485	0.0041654332092736	0.00746817717610264	0.0064628448828825	0.00795118037758412	0.0156907194880898
