kk	file	sample	muts_caveman	c20_genome	muts	corr_muts	c20_nanoseq_genome	obs_rate	corr_rate	donor	age	muts_per_cell
RESULT	2022/mutation_calls.csv	PD40667gt	686	5077890760	189	202.1664	1400802344	1.349227e-07	1.443219e-07	2022/mutation_calls.csv	38	825.904141011729
RESULT	2022/mutation_calls.csv	PD40667gu	723	5132031108	187	201.2155	1413920234	1.322564e-07	1.423104e-07	2022/mutation_calls.csv	38	814.393024683264
RESULT	2022/mutation_calls.csv	PD40667gv	704	4614751606	192	199.1391	1276100216	1.504584e-07	1.560529e-07	2022/mutation_calls.csv	38	893.036582298939
RESULT	2022/mutation_calls.csv	PD40667gw	744	4246548720	190	205.5744	1175748422	1.615992e-07	1.748456e-07	2022/mutation_calls.csv	38	1000.5806816407
RESULT	2022/mutation_calls.csv	PD40667gx	561	4617162234	138	144.4797	1281522612	1.076844e-07	1.127407e-07	2022/mutation_calls.csv	38	645.175894930437
RESULT	2022/mutation_calls.csv	PD40667ij	636	2893220592	112	122.8532	797487768	1.40441e-07	1.540502e-07	2022/mutation_calls.csv	38	881.575825316082
RESULT	2022/mutation_calls.csv	PD40667ix	602	1420896020	53	58.71175	383794880	1.380946e-07	1.529769e-07	2022/mutation_calls.csv	38	875.433701947779
RESULT	1957/mutation_calls.csv	PD41048b_lo0053	814	4257521798	193	202.7846	1181910460	1.632949e-07	1.715735e-07	1957/mutation_calls.csv	48	981.855589053885
RESULT	1957/mutation_calls.csv	PD41048b_lo0098	851	2482040966	124	135.8484	655657844	1.89123e-07	2.07194e-07	1957/mutation_calls.csv	48	1185.69934703454
RESULT	1957/mutation_calls.csv	PD41048b_lo0101	837	5008724088	251	261.4714	1371502440	1.83011e-07	1.906459e-07	1957/mutation_calls.csv	48	1091.00031441457
RESULT	1957/mutation_calls.csv	PD41048b_lo0123	857	4583254662	201	217.5608	1261234704	1.593676e-07	1.724982e-07	1957/mutation_calls.csv	48	987.147326199762
RESULT	1957/mutation_calls.csv	PD41048b_lo0127	803	5303999164	238	253.931	1447913016	1.643745e-07	1.753772e-07	1957/mutation_calls.csv	48	1003.62284392765
RESULT	1957/mutation_calls.csv	PD41048b_lo0138	967	5335860228	316	338.049	1449274530	2.180401e-07	2.33254e-07	1957/mutation_calls.csv	48	1334.83168186914
RESULT	1957/mutation_calls.csv	PD41048b_lo0139	903	4353367086	213	226.6808	1199039196	1.776422e-07	1.89052e-07	1957/mutation_calls.csv	48	1081.87897794132
RESULT	1957/mutation_calls.csv	PD41048b_lo0144	818	3297431994	153	162.892	920791806	1.661613e-07	1.769043e-07	1957/mutation_calls.csv	48	1012.36190718651
RESULT	1957/mutation_calls.csv	PD41048b_lo0171	807	5286857948	233	248.4635	1443467784	1.614168e-07	1.721295e-07	1957/mutation_calls.csv	48	985.037384071845
RESULT	1957/mutation_calls.csv	PD41048b_lo0192	875	5321545018	238	251.353	1439361266	1.653511e-07	1.746281e-07	1957/mutation_calls.csv	48	999.336004632771
RESULT	2129/mutation_calls.csv	PD43974ag2	1476	4202022214	308	328.9477	1141887908	2.697288e-07	2.880736e-07	2129/mutation_calls.csv	81	1648.54522533418
RESULT	2129/mutation_calls.csv	PD43974bp2	1468	3731020626	274	289.7052	1026023868	2.670503e-07	2.823572e-07	2129/mutation_calls.csv	81	1615.83225223945
RESULT	2129/mutation_calls.csv	PD43974k	1471	3860538614	290	308.029	1056402216	2.745167e-07	2.91583e-07	2129/mutation_calls.csv	81	1668.62830345653
RESULT	2129/mutation_calls.csv	PD43974kz	1505	4063053388	366	384.4611	1135809914	3.22237e-07	3.384907e-07	2129/mutation_calls.csv	81	1937.06478936294
RESULT	2129/mutation_calls.csv	PD43974ng	1527	5226762030	408	434.5407	1425014686	2.863128e-07	3.049377e-07	2129/mutation_calls.csv	81	1745.05261627371
RESULT	2129/mutation_calls.csv	PD43974pr	1648	5010239252	414	436.8474	1367250624	3.027974e-07	3.195079e-07	2129/mutation_calls.csv	81	1828.43281370299
RESULT	2129/mutation_calls.csv	PD43974py	1467	3704813112	304	324.0132	1011839672	3.004429e-07	3.202219e-07	2129/mutation_calls.csv	81	1832.51878788073
RESULT	2129/mutation_calls.csv	PD43974pz	1491	4081862470	334	355.2174	1118239362	2.986838e-07	3.176577e-07	2129/mutation_calls.csv	81	1817.84476128891
RESULT	2129/mutation_calls.csv	PD43974qa	1645	5164098278	431	454.3149	1410635976	3.055359e-07	3.220639e-07	2129/mutation_calls.csv	81	1843.05991454095
RESULT	2129/mutation_calls.csv	PD43974s2	1594	5238948260	385	408.514	1425076022	2.70161e-07	2.866612e-07	2129/mutation_calls.csv	81	1640.46255036409
RESULT	CB002_1_NV.csv	PD45517b_lo0001	49	5052586594	15	15.86293	1352358758	1.109173e-08	1.172982e-08	CB002_1_NV.csv	0	67.1256885567762
RESULT	CB002_1_NV.csv	PD45517b_lo0002	56	4553469706	17	19.52966	1219667460	1.393823e-08	1.601228e-08	CB002_1_NV.csv	0	91.6327207377348
RESULT	CB002_1_NV.csv	PD45517b_lo0003	47	4193516528	11	12.39009	1127531592	9.755824e-09	1.098868e-08	CB002_1_NV.csv	0	62.8844015790588
RESULT	CB002_1_NV.csv	PD45517b_lo0004	62	4563254326	12	13.5648	1222945192	9.812378e-09	1.109191e-08	CB002_1_NV.csv	0	63.4751510389581
RESULT	CB002_1_NV.csv	PD45517b_lo0005	43	4649438862	10	11.84217	1245858816	8.026592e-09	9.505226e-09	CB002_1_NV.csv	0	54.3951092291077
RESULT	CB002_1_NV.csv	PD45517b_lo0009	63	3371344394	10	11.00039	896984500	1.114846e-08	1.226375e-08	CB002_1_NV.csv	0	70.1811846250125
RESULT	CB002_1_NV.csv	PD45517b_lo0010	64	5076753648	17	19.12341	1362258374	1.247928e-08	1.403802e-08	CB002_1_NV.csv	0	80.3347160036382
RESULT	CB002_1_NV.csv	PD45517b_lo0011	62	4780039018	13	14.53339	1281426548	1.014494e-08	1.134157e-08	CB002_1_NV.csv	0	64.9038685644687
RESULT	CB002_1_NV.csv	PD45517b_lo0012	67	4806491422	17	18.447	1285773476	1.322161e-08	1.434701e-08	CB002_1_NV.csv	0	82.1029585262991
RESULT	CB002_1_NV.csv	PD45517b_lo0013	53	5378955922	16	18.15293	1440729330	1.110549e-08	1.259982e-08	CB002_1_NV.csv	0	72.1043965884762
RESULT	CB002_1_NV.csv	PD45517b_lo0017	44	2460952362	4	4.146141	631401724	6.335111e-09	6.566565e-09	CB002_1_NV.csv	0	37.5781723059541
RESULT	CB002_1_NV.csv	PD45517b_lo0018	70	2523629878	14	15.83017	672250672	2.082556e-08	2.354801e-08	CB002_1_NV.csv	0	134.757087951209
RESULT	CB002_1_NV.csv	PD45517b_lo0019	64	2429743746	7	7.532742	639328954	1.094898e-08	1.178226e-08	CB002_1_NV.csv	0	67.4257844753766
RESULT	CB002_1_NV.csv	PD45517b_lo0028	45	2521102314	6	7.483481	658775352	9.107809e-09	1.135969e-08	CB002_1_NV.csv	0	65.0075630351979
RESULT	CB002_1_NV.csv	PD45517b_lo0029	51	2616744390	7	8.082109	695471032	1.006512e-08	1.162106e-08	CB002_1_NV.csv	0	66.5032928262846
